year,overall_pick,round,team_drafted,player_name,college
2015,82,R4,LA Galaxy,Andrew Wolverton,Penn State
2015,83,R4,Colorado Rapids,Brandon Fricke,Butler
2015,84,R4,Portland Timbers,Seth Casiple,California
2016,1,R1,Chicago Fire,Jack Harrison,Wake Forest
2016,2,R1,Philadelphia Union,Joshua Yaro,Georgetown
2016,3,R1,Philadelphia Union,Keegan Rosenberry,Georgetown
2016,4,R1,Chicago Fire,Brandon Vincent,Stanford
2016,5,R1,Real Salt Lake,Omar Holness,North Carolina
2016,6,R1,Philadelphia Union,Fabian Herbers,Creighton
2016,7,R1,Orlando City,Richie Laryea,Akron
2016,8,R1,San Jose Earthquakes,Andrew Tarbell,Clemson
2016,9,R1,Toronto FC,Tsubasa Endoh,Maryland
2016,10,R1,New England Revolution,Jordan McCrary,North Carolina
2016,11,R1,D.C. United,Julian Büscher,Syracuse
2016,12,R1,Chicago Fire,Jonathan Campbell,North Carolina
2016,13,R1,Orlando City,Hadji Barry,Central Florida
2016,14,R1,CF Montréal,Kyle Fisher,Clemson
2016,15,R1,Colorado Rapids,Emmanuel Appiah,Cincinnati
2016,16,R1,Vancouver Whitecaps FC,Cole Seiler,Georgetown
2016,17,R1,FC Dallas,Ryan Herman,Washington
2016,18,R1,Red Bull New York,Justin Bilyeu,SIU Edwardsville
2016,19,R1,Columbus Crew,Rodrigo Saravia,Florida Gulf Coast
2016,20,R1,Portland Timbers,Ben Polk,Syracuse
2016,21,R2,Columbus Crew,Chase Minter,Cal Poly
2016,22,R2,Chicago Fire,Alex Morrell,North Florida
2016,23,R2,Philadelphia Union,Taylor Washington,George Mason
2016,24,R2,CF Montréal,Michael Salazar,UC Riverside
2016,25,R2,Real Salt Lake,Max Lachowecki,Notre Dame
2016,26,R2,Houston Dynamo,Ivan Magalhães,Maryland
2016,27,R2,Seattle Sounders,Tony Alfaro,Cal State Dominguez Hills
2016,28,R2,San Jose Earthquakes,Patrick Hodan,Notre Dame
2016,29,R2,Vancouver Whitecaps FC,Christopher Hellmann,Lynn (FL)
2016,30,R2,New England Revolution,Michael Gamble,Wake Forest
2016,31,R2,Columbus Crew,Kyle Parker,Charlotte
2016,32,R2,D.C. United,Paul Clowes,Clemson
2016,33,R2,FC Dallas,Timo Pitter,Creighton
2016,34,R2,CF Montréal,Eric Verso,Stanford
2016,35,R2,Seattle Sounders,Zach Mathers,Duke
2016,36,R2,Vancouver Whitecaps FC,Thomas Sanner,Princeton
2016,37,R2,Colorado Rapids,Dennis Castillo,
2016,38,R2,Red Bull New York,Zach Carroll,Michigan State
2016,39,R2,CF Montréal,Keegan Smith,San Diego
2016,40,R2,Portland Timbers,Neco Brett,Robert Morris
2016,41,R3,Columbus Crew,Marshall Hollingsworth,Wheaton (IL)
2016,42,R3,LA Galaxy,Josh Turnley,Georgetown
2016,43,R3,Colorado Rapids,Chris Froschauer,Ohio State
2016,44,R3,Philadelphia Union,Mitchell Lurie,Rutgers
2016,45,R3,FC Dallas,Colin Bonner,UNC Wilmington
2016,46,R3,Real Salt Lake,Amass Amankona,Dayton
2016,47,R3,Houston Dynamo,T. J. Casner,Clemson
2016,48,R3,Orlando City,Antonio Matarazzo,Columbia
2016,49,R3,San Jose Earthquakes,Kip Colvey,Cal Poly
2016,50,R3,Vancouver Whitecaps FC,James Moberg,Washington
2016,51,R3,New England Revolution,Femi Hollinger-Janzen,Indiana
2016,52,R3,Sporting Kansas City,Ryan James,Bowling Green
2016,54,R3,Seattle Sounders,Emir Alihodžić,Omaha
2016,55,R3,CF Montréal,Brendan Hines-Ike,South Florida
2016,56,R3,Colorado Rapids,Javan Torre,UCLA
2016,58,R3,Colorado Rapids,Bradley Kamdem,UNLV
2016,59,R3,Toronto FC,Mitchell Taintor,Rutgers
2016,60,R3,Columbus Crew,Vince Cicciarelli,Saint Louis
2016,61,R4,Portland Timbers,Wade Hamilton,Cal Poly
2016,64,R4,Philadelphia Union,Cole Missimo,Northwestern
2016,65,R4,Real Salt Lake,Connor Sparrow,Creighton
2016,67,R4,D.C. United,Liam Doyle,Ohio State
2016,68,R4,Orlando City,Tobenna Uzo,Coastal Carolina
2016,70,R4,Toronto FC,Darius Madison,UMBC
2016,71,R4,Vancouver Whitecaps FC,Josh Heard,Washington
2016,76,R4,Seattle Sounders,Michael Nelson,Old Dominion
2016,77,R4,Vancouver Whitecaps FC,Tyler David,Saint Louis
2016,80,R4,Toronto FC,Brian James,Penn State
2016,81,R5,Portland Timbers,Trevor Morley,Cal State Northridge
2017,1,R1,Minnesota United,Abu Danladi,UCLA
2017,2,R1,Atlanta United,Miles Robinson,Syracuse
2017,3,R1,New York City FC,Jonathan Lewis,Akron
2017,4,R1,Portland Timbers,Jeremy Ebobisse,Duke
2017,5,R1,Columbus Crew,Lalas Abubakar,Dayton
2017,6,R1,San Jose Earthquakes,Jackson Yueill,UCLA
2017,7,R1,Vancouver Whitecaps FC,Jake Nerwinski,Connecticut
2017,8,R1,Atlanta United,Julian Gressel,Providence
2017,9,R1,Columbus Crew,Niko Hansen,New Mexico
2017,10,R1,Houston Dynamo,Joe Holland,Hofstra
2017,11,R1,Chicago Fire,Daniel Johnson,Louisville
2017,12,R1,D.C. United,Chris Odoi-Atsem,Maryland
2017,13,R1,Real Salt Lake,Reagan Dunk,Denver
2017,14,R1,Sporting Kansas City,Colton Storm,North Carolina
2017,15,R1,Colorado Rapids,Sam Hamilton,Denver
2017,16,R1,New York City FC,Kwame Awuah,Connecticut
2017,17,R1,Red Bull New York,Zeiko Lewis,Boston College
2017,18,R1,FC Dallas,Jacori Hayes,Wake Forest
2017,19,R1,CF Montréal,Nick DePuy,UC Santa Barbara
2017,20,R1,New England Revolution,Brian Wright,Vermont
2017,21,R1,Toronto FC,Brandon Aubrey,Notre Dame
2017,22,R1,Seattle Sounders,Brian Nana-Sinkam,Stanford
2017,23,R2,Minnesota United,Alec Ferrell,Wake Forest
2017,24,R2,Colorado Rapids,Liam Callahan,Syracuse
2017,25,R2,Philadelphia Union,Marcus Epps,South Florida
2017,26,R2,Chicago Fire,Stefan Cleveland,Louisville
2017,27,R2,Chicago Fire,Guillermo Delgado,Delaware
2017,28,R2,San Jose Earthquakes,Lindo Mfeka,South Florida
2017,29,R2,Vancouver Whitecaps FC,Francis de Vries,Saint Francis (PA)
2017,30,R2,Houston Dynamo,Jake McGuire,Tulsa
2017,31,R2,New England Revolution,Napo Matsoso,Kentucky
2017,32,R2,Portland Timbers,Michael Amick,UCLA
2017,33,R2,Philadelphia Union,Aaron Jones,Clemson
2017,34,R2,D.C. United,Eric Klenofsky,Monmouth
2017,35,R2,Real Salt Lake,Justin Schmidt,Washington
2017,36,R2,Houston Dynamo,Danilo Radjen,Akron
2017,37,R2,FC Dallas,Walker Hume,North Carolina
2017,38,R2,New York City FC,Jalen Brown,Xavier
2017,39,R2,Red Bull New York,Ethan Kutler,Colgate
2017,40,R2,FC Dallas,Adonijah Reid,
2017,41,R2,CF Montréal,Shamit Shome,
2017,42,R2,Minnesota United,Thomas De Villardi,Delaware
2017,44,R2,Seattle Sounders,Dominic Oduro,
2017,45,R3,Colorado Rapids,Jaime Siaj,Pfeiffer
2017,46,R3,Atlanta United,Andrew Wheeler-Omiunu,Harvard
2017,47,R3,Chicago Fire,Brandt Bronico,Charlotte
2017,48,R3,Real Salt Lake,Andrew Putna,Illinois–Chicago
2017,49,R3,Columbus Crew,Connor Maloney,Penn State
2017,50,R3,San Jose Earthquakes,Christian Thierjung,California
2017,52,R3,Toronto FC,Robert Moewes,Duke
2017,53,R3,FC Dallas,Austin Ledbetter,SIU Edwardsville
2017,54,R3,New York City FC,Chris Wingate,New Hampshire
2017,55,R3,Philadelphia Union,Chris Nanco,Syracuse
2017,56,R3,Seattle Sounders,Bakie Goodman,Georgetown
2017,58,R3,Sporting Kansas City,David Greczek,Rutgers
2017,59,R3,FC Dallas,Dakota Barnathan,
2017,60,R3,New York City FC,Michael DeGraffenriedt,Louisville
2017,61,R3,Red Bull New York,Jordan Scarlett,Iona
2017,62,R3,FC Dallas,Wuilito Fernandes,UMass Lowell
2017,64,R3,Orlando City,Danny Deakin,South Carolina
2017,65,R3,Toronto FC,Øyvind Alseth,Syracuse
2017,66,R3,Seattle Sounders,Jake Stovall,Wright State
2017,67,R4,Minnesota United,Tanner Thompson,Indiana
2017,68,R4,Atlanta United,Alex Kapp,Creighton
2017,69,R4,Chicago Fire,Matej Deković,Charlotte
2017,70,R4,Houston Dynamo,Robby Sagel,Penn State
2017,71,R4,Columbus Crew,Logan Ketterer,Bradley
2017,73,R4,Vancouver Whitecaps FC,Nazeem Bartman,South Florida
2017,75,R4,New England Revolution,Joshua Smith,San Francisco
2017,76,R4,Portland Timbers,Russell Cicerone,Buffalo
2017,77,R4,Philadelphia Union,Jack Elliott,West Virginia
2017,80,R4,Portland Timbers,Romilio Hernandez,Louisville
2017,82,R4,Philadelphia Union,Santi Moar,Pfeiffer
2017,83,R4,Toronto FC,Lars Eckenrode,Michigan
2017,88,R4,Seattle Sounders,Kyle Bjornethun,Seattle
2018,1,R1,Los Angeles FC,João Moutinho,Akron
2018,2,R1,LA Galaxy,Tomas Hilliard-Arce,Stanford
2018,3,R1,Los Angeles FC,Tristan Blackmon,Pacific
2018,4,R1,FC Dallas,Francis Atuahene,Michigan
2018,5,R1,Chicago Fire,Jon Bakero,Wake Forest
2018,6,R1,Orlando City,Chris Mueller,Wisconsin
2018,7,R1,Minnesota United,Mason Toye,Indiana
2018,8,R1,New England Revolution,Brandon Bye,Western Michigan
2018,9,R1,New England Revolution,Mark Segbers,Wisconsin
2018,10,R1,Chicago Fire,Mo Adams,Syracuse
2018,11,R1,FC Dallas,Ema Twumasi,Wake Forest
2018,12,R1,San Jose Earthquakes,Paul Marie,Florida International
2018,13,R1,Sporting Kansas City,Eric Dick,Butler
2018,14,R1,Atlanta United,Jon Gallagher,Notre Dame
2018,15,R1,Minnesota United,Wyatt Omsberg,Dartmouth
2018,16,R1,Red Bull New York,Brian White,Duke
2018,17,R1,Vancouver Whitecaps FC,Justin Fiddes,Washington
2018,18,R1,Sporting Kansas City,Graham Smith,Denver
2018,19,R1,New York City FC,Jefferson Caldwell,Virginia
2018,20,R1,Houston Dynamo,Michael Nelson,
2018,21,R1,Columbus Crew,Ben Lundgaard,Virginia Tech
2018,22,R1,Seattle Sounders,Alex Roldan,Seattle
2018,23,R1,Minnesota United,Carter Manley,Duke
2018,24,R2,Los Angeles FC,Pol Calvet,Pittsburgh
2018,25,R2,Colorado Rapids,Alan Winn,North Carolina
2018,26,R2,Vancouver Whitecaps FC,Lucas Stauffer,Creighton
2018,27,R2,Colorado Rapids,Frantzdy Pierrot,Coastal Carolina
2018,28,R2,Toronto FC,Tim Kübel,Louisville
2018,29,R2,FC Dallas,Mauro Cichero,
2018,30,R2,San Jose Earthquakes,Daniel Musovski,UNLV
2018,31,R2,Red Bull New York,Niko De Vera,Akron
2018,32,R2,Columbus Crew,Edward Opoku,Virginia
2018,33,R2,Real Salt Lake,Ricky Lopez-Espin,Creighton
2018,34,R2,FC Dallas,Chris Lema,Georgetown
2018,35,R2,San Jose Earthquakes,Mohamed Thiaw,Louisville
2018,36,R2,Atlanta United,Oliver Shannon,Clemson
2018,37,R2,Atlanta United,Gordon Wild,Maryland
2018,38,R2,Chicago Fire,Diego Campos,Clemson
2018,39,R2,Red Bull New York,Tom Barlow,Wisconsin
2018,40,R2,LA Galaxy,Drew Skundrich,Stanford
2018,41,R2,Minnesota United,Xavier Gomez,Omaha
2018,42,R2,New York City FC,AJ Paterson,Wright State
2018,43,R2,Houston Dynamo,Mac Steeves,Providence
2018,44,R2,Columbus Crew,Jake Rozhansky,Maryland
2018,45,R2,Seattle Sounders,Markus Fjørtoft,Duke
2018,46,R2,Toronto FC,Drew Shepherd,Western Michigan
2018,47,R3,Los Angeles FC,Jordan Jones,Oregon State
2018,48,R3,LA Galaxy,Nate Shultz,Akron
2018,49,R3,Chicago Fire,Elliot Collier,Loyola Chicago
2018,50,R3,Colorado Rapids,Thomas Olsen,San Diego
2018,52,R3,New York City FC,Alex Bumpus,Kentucky
2018,53,R3,CF Montréal,Ken Krolicki,Michigan State
2018,54,R3,Philadelphia Union,Mike Catalano,Wisconsin
2018,55,R3,Philadelphia Union,Aidan Apodaca,California Baptist
2018,57,R3,FC Dallas,Amer Šašivarević,Grand Canyon
2018,58,R3,San Jose Earthquakes,Kevin Partida,UNLV
2018,59,R3,Houston Dynamo,Pablo Aguilar,Virginia
2018,61,R3,Portland Timbers,Caleb Duvernay,NC State
2018,62,R3,Vancouver Whitecaps FC,Cory Brown,Xavier
2018,64,R3,Portland Timbers,Stuart Holthusen,Akron
2018,66,R3,Houston Dynamo,Sheldon Sullivan,Virginia
2018,67,R3,Columbus Crew,Luis Argudo,Wake Forest
2018,68,R3,Seattle Sounders,Chris Bared,Villanova
2018,70,R4,Atlanta United,Paul Christensen,Portland
2018,72,R4,Colorado Rapids,Brian Iloski,UCLA
2018,73,R4,Colorado Rapids,Niki Jackson,Grand Canyon
2018,78,R4,New England Revolution,Nicolás Samayoa,Florida Gulf Coast
2018,80,R4,FC Dallas,Noah Franke,Creighton
2018,83,R4,Red Bull New York,Jared Stroud,Colgate
2018,84,R4,Chicago Fire,Joshua Morton,California
2018,85,R4,Red Bull New York,José Aguinaga,Rider
2018,87,R4,Portland Timbers,Mamadou Guirassy,NJIT
2018,89,R4,Houston Dynamo,Manny Padilla,San Francisco
2019,1,R1,FC Cincinnati,Frankie Amaya,UCLA
2019,2,R1,San Jose Earthquakes,Siad Haji,
2019,3,R1,Orlando City,Santiago Patiño,Florida International
2019,4,R1,FC Dallas,Callum Montgomery,Charlotte
2019,5,R1,Colorado Rapids,Andre Shinyashiki,Denver
2019,6,R1,Toronto FC,Griffin Dorsey,Indiana
2019,7,R1,Minnesota United,Dayne St. Clair,Maryland
2019,8,R1,Houston Dynamo,Sam Junqua,California
2019,9,R1,New England Revolution,Tajon Buchanan,Syracuse
2019,10,R1,FC Dallas,John Nelson,North Carolina
2019,11,R1,New England Revolution,DeJuan Jones,Michigan State
2019,12,R1,New York City FC,Luis Barraza,Marquette
2019,13,R1,FC Cincinnati,Logan Gdula,Wake Forest
2019,14,R1,D.C. United,Akeem Ward,Creighton
2019,15,R1,Minnesota United,Chase Gasper,Maryland
2019,16,R1,Red Bull New York,Roy Boateng,UC Davis
2019,17,R1,Real Salt Lake,Sam Brown,Harvard
2019,18,R1,Columbus Crew,JJ Williams,Kentucky
2019,19,R1,LA Galaxy,Emil Cuello,
2019,20,R1,Seattle Sounders,Tucker Bone,Air Force
2019,22,R1,Red Bull New York,János Löbe,Fordham
2019,23,R1,Portland Timbers,Ryan Sierakowski,Michigan State
2019,24,R1,Atlanta United,Anderson Asiedu,UCLA
2019,25,R2,Red Bull New York,Sean Nealis,Hofstra
2019,26,R2,San Jose Earthquakes,Sergio Rivas,Seattle
2019,27,R2,Orlando City,Kamal Miller,Syracuse
2019,28,R2,Colorado Rapids,Marcello Borges,Michigan
2019,29,R2,FC Cincinnati,Thomas McCabe,Notre Dame
2019,30,R2,FC Cincinnati,Jimmy Hague,Michigan State
2019,31,R2,Minnesota United,Hassani Dotson,Oregon State
2019,32,R2,Red Bull New York,Rece Buckmaster,Indiana
2019,33,R2,Houston Dynamo,Andrew Samuels,Maryland
2019,34,R2,CF Montréal,Amar Sejdic,Maryland
2019,35,R2,Vancouver Whitecaps FC,Brendan McDonough,Georgetown
2019,36,R2,LA Galaxy,Armel-Don Tchilao,Oregon State
2019,37,R2,FC Cincinnati,Benjamin Lundt,Akron
2019,39,R2,Toronto FC,Adam Wilson,Louisville
2019,40,R2,Los Angeles FC,Peter-Lee Vassell,
2019,41,R2,Real Salt Lake,Kyle Coffee,Washington
2019,42,R2,Colorado Rapids,Jacob Hauser-Ramsey,Connecticut
2019,43,R2,New York City FC,Abdi Mohamed,Akron
2019,44,R2,Seattle Sounders,Joel Rydstrand,Creighton
2019,45,R2,Sporting Kansas City,Camden Riley,Pacific
2019,46,R2,San Jose Earthquakes,Mamadi Camara,Simon Fraser
2019,47,R2,Portland Timbers,Lennart Hein,Saint Louis
2019,48,R2,Atlanta United,Amir Bashti,Stanford
2019,49,R3,FC Cincinnati,Rashawn Dally,Quinnipiac
2019,50,R3,San Jose Earthquakes,Nathan Aune,Seattle
2019,53,R3,Chicago Fire,Ebenezer Ackon,Bowling Green
2019,54,R3,Toronto FC,Patrick Bunk-Andersen,Clemson
2019,55,R3,Chicago Fire,Grant Stoneman,Loyola Chicago
2019,56,R3,Houston Dynamo,Brad Dunwell,Wake Forest
2019,63,R3,FC Dallas,Eduvie Ikoba,Dartmouth
2019,66,R3,Columbus Crew,Justin Donawa,Dartmouth
2019,68,R3,Seattle Sounders,Aleks Berkolds,San Diego State
2019,69,R3,Sporting Kansas City,Franky Martinez,UMass Lowell
2019,70,R3,Red Bull New York,Rashid Nuhu,Fordham
2019,72,R3,D.C. United,Shinya Kadono,California
2019,75,R4,Minnesota United,Kevin Rodríguez,Northern Illinois
2019,76,R4,Colorado Rapids,Robbie Mertz,Michigan
2019,88,R4,FC Dallas,Dylan Castanheira,Columbia
2019,90,R4,Columbus Crew,Rafa Mentzingen,Valparaiso
2019,94,R4,Minnesota United,Mitchell Osmond,Texas-Rio Grande Valley
2019,95,R4,Portland Timbers,David Zalzman,Memphis
2020,1,R1,Inter Miami,Robbie Robinson,Clemson
2020,2,R1,Nashville SC,Jack Maher,Indiana
2020,3,R1,Inter Miami,Dylan Nealis,Georgetown
2020,4,R1,Vancouver Whitecaps FC,Ryan Raposo,Syracuse
2020,5,R1,Orlando City,Daryl Dike,Virginia
2020,6,R1,New England Revolution,Henry Kessler,Virginia
2020,7,R1,Columbus Crew,Miguel Berry,San Diego
2020,8,R1,Houston Dynamo,Garrett McLaughlin,
2020,9,R1,CF Montréal,Jeremy Kelly,North Carolina
2020,10,R1,Red Bull New York,Patrick Seagrist,Marquette
2020,11,R1,Nashville SC,Alistair Johnston,Wake Forest
2020,12,R1,San Jose Earthquakes,Tanner Beason,Stanford
2020,13,R1,Nashville SC,Elliot Panicco,Charlotte
2020,14,R1,FC Dallas,Nkosi Tafari,Seattle
2020,15,R1,Red Bull New York,Cherif Dieye,Louisville
2020,16,R1,Portland Timbers,Aaron Molloy,Penn State
2020,17,R1,FC Dallas,Cal Jennings,Central Florida
2020,18,R1,Minnesota United,Noah Billingsley,UC Santa Barbara
2020,19,R1,Toronto FC,Nyal Higgins,Syracuse
2020,20,R1,Real Salt Lake,Dayonn Harris,Connecticut
2020,21,R1,D.C. United,Simon Lefebvre,Temple
2020,22,R1,New York City FC,Jesus Perez,Illinois-Chicago
2020,23,R1,Atlanta United,Patrick Nielsen,Michigan State
2020,24,R1,Los Angeles FC,Paulo Pita,Marshall
2020,25,R1,Toronto FC,Ifunanyachi Achara,Georgetown
2020,26,R1,Chicago Fire,Jonathan Jimenez,Pacific
2020,27,R2,San Jose Earthquakes,Jack Skahan,North Carolina
2020,28,R2,Nashville SC,Tanner Dieterich,Clemson
2020,29,R2,FC Cincinnati,Rey Ortiz Flores,Portland
2020,30,R2,New England Revolution,Simon Lekressner,California
2020,31,R2,Orlando City,Joey DeZart,Wake Forest
2020,32,R2,Vancouver Whitecaps FC,Daniel Gagliardi,Florida International
2020,33,R2,Toronto FC,Malick Mbaye,Clemson
2020,34,R2,Houston Dynamo,Luka Prpa,Marquette
2020,35,R2,Seattle Sounders,Danny Reynolds,UNC Wilmington
2020,36,R2,Red Bull New York,Wallis Lapsley,UC Davis
2020,38,R2,San Jose Earthquakes,Jon Bell,UMBC
2020,39,R2,Orlando City,Jonathan Dean,Central Florida
2020,40,R2,FC Dallas,Manuel Ferriol,James Madison
2020,41,R2,Red Bull New York,Deri Corfe,Wright State
2020,42,R2,D.C. United,Josh Fawole,Loyola (MD)
2020,43,R2,New England Revolution,Keegan Meyer,High Point
2020,44,R2,Orlando City,Austin Aviza,Providence
2020,46,R2,Real Salt Lake,Michael Wetungu,Michigan State
2020,47,R2,Columbus Crew,Remi Prieur,St. Mary's (CA)
2020,48,R2,New York City FC,Felicien Dumas,Notre Dame
2020,49,R2,Columbus Crew,Danny Griffin,Providence
2020,50,R2,Los Angeles FC,Jack Hallahan,Michigan
2020,51,R2,Toronto FC,Simon Wæver,Indiana
2020,53,R3,FC Cincinnati,Joris Ahlinvi,Indiana
2020,54,R3,Nashville SC,Shak Adams,Florida Gulf Coast
2020,57,R3,Orlando City,Nick O'Callaghan,Florida International
2020,58,R3,Sporting Kansas City,Jaret Townsend,Washington
2020,59,R3,Columbus Crew,Ryo Shimazaki,
2020,62,R3,Red Bull New York,Stavros Zarokostas,Rhode Island
2020,66,R3,FC Dallas,Derek Waldeck,Stanford
2020,68,R3,Portland Timbers,Zac McGraw,Army
2020,74,R3,New York City FC,Parker Siegfried,Ohio State
2020,75,R3,Atlanta United,Phillip Goodrum,UNC Wilmington
2020,76,R3,Los Angeles FC,Jorge González,SIU Edwardsville
2020,80,R4,Nashville SC,Luke Haakenson,Creighton
2020,86,R4,Houston Dynamo,Kyle Edwards,Texas-Rio Grande Valley
2020,88,R4,Minnesota United,Matthew Bentley,Missouri State
2020,96,R4,Minnesota United,Andrew Booth,Florida International
2020,102,R4,Los Angeles FC,Younes Boudadi,Creighton
